"XXII Memoriał im. St. Krzymińskiego i B. Nowackiego • Leszno, 09-12.04.2015 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORZY MŁODSI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Gierszewski,Marek,Tucholanka Tuchola,381,179,2,560,383,226,5,609,764,405,7,1169,6
2.,Michalak,Kacper,KS Start Gostyń,377,210,3,587,384,177,7,561,761,387,10,1148,5
3.,Michalak,Jędrzej,KS Start Gostyń,359,202,4,561,348,207,0,555,707,409,4,1116,4
4.,Klecha,Mateusz,KS Polonia 1912 Leszno,368,215,0,583,353,169,2,522,721,384,2,1105,3
5.,Kozłowski,Maciej,OSiR-Vector Tarnowo Podgórne,379,184,2,563,370,161,4,531,749,345,6,1094,2
6.,Kuchnowski,Kacper,Zatoka Puck,365,178,4,543,393,142,4,535,758,320,8,1078,1
7.,Nowacki,Aleksander,Tucholanka Tuchola,355,185,2,540,377,156,5,533,732,341,7,1073,
8.,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,364,182,7,546,328,179,3,507,692,361,10,1053,
9.,Bacza,Krzysztof,"KS Polonia Łaziska Górne
",360,186,7,546,339,150,6,489,699,336,13,1035,
10.,Osiński,Paweł,Pilica Tomaszów Mazowiecki,371,159,3,530,,,,,,,,,
11.,Polak,Jakub,Pilica Tomaszów Mazowiecki,363,166,3,529,,,,,,,,,
12.,Rybiński ,Alan,KS Polonia 1912 Leszno,367,161,7,528,,,,,,,,,
13.,Nowak,Patryk,KS Czarna Kula Poznań,370,158,7,528,,,,,,,,,
14.,Ratajczak,Tymoteusz,KK Dziewiątka-Amica Wronki,349,178,5,527,,,,,,,,,
15.,Cwojdziński ,Tomasz,KS Alfa-Vector Tarnowo Podgórne,358,169,10,527,,,,,,,,,
16.,Kaliski,Szymon,KS Polonia 1912 Leszno,365,157,7,522,,,,,,,,,
17.,Palacz,Kamil,KK Dziewiątka-Amica Wronki,357,163,4,520,,,,,,,,,
18.,Lukaszewski,Patryk,KS Start Gostyń,364,154,7,518,,PATRONAT MEDIALNY,,,,,,,
19.,Radzi ,Mateusz,KK Dziewiątka-Amica Wronki,344,173,4,517,,,,,,,,,
20.,Zagata,Krzysztof,SGLK Gostyń,324,189,10,513,,,,,,,,,
21.,Ruszczyk ,Bartosz,KK Dziewiątka-Amica Wronki,344,166,8,510,,,,,,,,,
22.,Nowak ,Jędrzej,KS Start Gostyń,348,162,8,510,,,,,,,,,
23.,Gierwatowski,Kastjan,"UKS ""Jedynka"" Świebodzice",325,185,6,510,,,,,,,,,
24.,Goździk,Mateusz,Pilica Tomaszów Mazowiecki,354,155,6,509,,,,,,,,,
25.,Szydłowski,Igor,BOSiR Brzesko,334,164,7,498,,,,,,,,,
26.,Tomczyk,Jakub,BOSiR Brzesko,334,164,5,498,,,,,,,,,
27.,Kląskała,Mateusz,KK Dziewiątka-Amica Wronki,338,150,6,488,,,,,,,,,
28.,Nosal,Jakub,BOSiR Brzesko,329,158,5,487,,,,,,,,,
29.,Łuczak,Dawid,Tucholanka Tuchola,368,117,12,485,,,,,,,,,
30.,Nowak,Dawid,KS Czarna Kula Poznań,341,139,11,480,,,,,,,,,
31.,Gromadecki,Mateusz,OSiR-Vector Tarnowo Podgórne,351,128,11,479,,,,,,,,,
32.,Kosowicz,Mikołaj,KS Start Gostyń,334,144,11,478,,,,,,,,,
33.,Frąckowiak,Rafał,KS Start Gostyń,336,139,9,475,,,,,,,,,
34.,Tomaszewski ,Michał,KS Polonia 1912 Leszno,328,138,11,466,,,,,,,,,
35.,Siciński,Oskar,"UKS ""Jedynka"" Świebodzice",325,139,15,464,,,,,,,,,
36.,Mrowiec,Patryk,OSiR Tarnowo Podgórne,326,129,12,455,,,,,,,,,
37.,Kuta,Mateusz,Pilica Tomaszów Mazowiecki,315,140,15,455,,,,,,,,,
38.,Mazur,Wiktor,OSiR-Vector Tarnowo Podgórne,334,118,18,452,,,,,,,,,
39.,Chuchro,Marcin,"UKS ""Jedynka"" Świebodzice",311,131,18,442,,,,,,,,,
40,Majchrzak,Adrian,KS Start Gostyń,301,107,18,408,,,,,,,,,
