XXIX Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 04-08.03.2015 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Górniak,Krystian,KK Dziewiątka-Amica Wronki,344,159,11,503,375,153,10,528,719,312,21,1031,11
2,Cwojdziński,Jakub,KS Alfa-Vector Tarnowo Podgórne,338,167,7,505,349,164,7,513,687,331,14,1018,9
3,Gołębiewski,Jerzy,KS Zatoka Puck,358,167,10,525,357,132,10,489,715,299,20,1014,7
4,Klemenski,Jan,KK Dziewiątka-Amica Wronki,355,158,13,513,335,165,11,500,690,323,24,1013,5
5,Cypel,Hubert,KK Dziewiątka-Amica Wronki,351,174,6,525,330,137,17,467,681,311,23,992,4
6,Kląskała,Jakub,KK Dziewiątka-Amica Wronki,354,138,11,492,348,143,9,491,702,281,20,983,3
7,Olczyk,Maciej,KK Dziewiątka-Amica Wronki,343,147,13,490,,,,,,,,,2
8,Dmowski,Jędrzej,KS OSiR-Vector Tarnowo Podgórne,347,139,11,486,,,,,,,,,1
9,Nowicki,Dominik,KK Dziewiątka-Amica Wronki,341,138,13,479,,,,,,,,,
10,Szczepski,Mikołaj,KK Dziewiątka-Amica Wronki,328,150,10,478,,,,,,,,,
11,Bartkowiak,Mateusz,KS OSiR-Vector Tarnowo Podgórne,330,145,9,475,,,,,,,,,
12,Grzywaczewski,Mateusz,KK Dziewiątka-Amica Wronki,320,152,6,472,,,,,,,,,
13,Kube,Karol,KS Polonia 1912 Leszno,320,137,17,457,,,,,,,,,
14,Banaszak,Szymon,KS Start Gostyń,333,112,18,445,,,,,,,,,
15,Kaszkowiak,Maciej,KK Dziewiątka-Amica Wronki,307,137,18,444,,,,,,,,,
16,Rostankowski,Patryk,MLKS Tucholanka Tuchola,314,130,12,444,,,,,,,,,
17,Kulesza,Aleksander,MLKS Tucholanka Tuchola,314,126,12,440,,,,,,,,,
18,Kłosowski,Dawid,MLKS Tucholanka Tuchola,302,136,14,438,,,,,,,,,
19,Muzolf,Norbert,MLKS Tucholanka Tuchola,301,129,11,430,,,,,,,,,
20,Kicka,Patryk,TKKF Sokół Brzesko,299,127,11,426,,,,,,,,,
21,Grzona,Bartosz,MLKS Tucholanka Tuchola,313,102,21,415,,,,,,,,,
22,Kubiak,Remigiusz,KK Dziewiątka-Amica Wronki,287,96,19,383,,,,,,,,,
