"XXI Memoriał im. St. Krzymińskiego i B. Nowackiego • Leszno, 27 - 30.03.2014 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Włodarczyk,Natalia,KS Polonia 1912 Leszno,352,167,5,519,368,213,2,581,720,380,7,1100,6
2.,Klunder,Daria,MLKS Tucholanka Tuchola,342,195,10,537,363,160,12,523,705,355,22,1060,5
3.,Matecka ,Anna,KS Polonia 1912 Leszno,386,168,4,554,356,144,7,500,742,312,11,1054,4
4.,Wawrzyniak ,Oliwia,KS Start Gostyń,362,193,7,555,342,156,7,498,704,349,14,1053,3
5.,Kwapisz,Dorota,KS Polonia 1912 Leszno,356,167,7,523,339,182,6,521,695,349,13,1044,2
6.,Ciałoń,Katarzyna,KS Polonia Łaziska Górne,347,166,1,513,338,144,14,482,685,310,15,995,1
7.,Pietrowska,Karolina,MLKS Tucholanka Tuchola,342,165,11,507,,,,,,,,,
8.,Piotrowska,Anna,KK Dziewiątka-Amica Wronki,350,156,8,506,,,,,,,,,
9.,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,368,137,7,505,,,,,,,,,
10.,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,342,158,7,500,,,,,,,,,
11.,Kurcok,Małgorzata,KS Polonia Łaziska Górne,333,164,7,497,,,,,,,,,
12.,Grocholska,Julia,KK Dziewiątka-Amica Wronki,327,169,4,496,,,,,,,,,
13.,Torka,Weronika,KS Alfa-Vector Tarnowo Podgórne,358,134,13,492,,,,,,,,,
14.,Bonk,Aleksandra,KS Alfa-Vector Tarnowo Podgórne,352,139,6,491,,,,,,,,,
15.,Zygarłowska,Dominika,KS Alfa-Vector Tarnowo Podgórne,354,137,8,491,,,PATRONAT MEDIALNY,,,,,,
16.,Grzelak,Patrycja,KK Dziewiątka-Amica Wronki,320,166,8,486,,,,,,,,,
17.,Stępczak,Jolanta,KS Polonia 1912 Leszno,348,134,8,482,,,,,,,,,
18.,Jarosz,Aleksandra,KS Pilica Tomaszów Maz.,331,146,9,477,,,,,,,,,
19.,Szponar,Anita,OSIR Vector Tarnowo Podgórne,331,145,14,476,,,,,,,,,
20.,Zalewska,Marta,MLKS Tucholanka Tuchola,339,130,14,469,,,,,,,,,
21.,Remisz,Weronika,KK Dziewiątka-Amica Wronki,320,136,13,456,,,,,,,,,
22.,Szczukowska,Izabela,MLKS Tucholanka Tuchola,338,110,11,448,,,,,,,,,
23.,Wegner,Justyna,MLKS Tucholanka Tuchola,309,128,14,437,,,,,,,,,
24.,Haładuda,Olimpia,UKS Kormoran Sieraków,295,131,18,426,,,,,,,,,
25.,Działek,Natalia,"UKS ""1"" Świebodzice",286,118,14,404,,,,,,,,,
26.,Korzeniewska,Michalina,MLKS Tucholanka Tuchola,265,129,23,394,,,,,,,,,
27.,Działek,Julia,"UKS ""1"" Świebodzice",285,105,24,390,,,,,,,,,
28.,Wiśniewska,Klaudia,KS Czarna Kula Poznań,244,92,26,336,,,,,,,,,
