"XXI Memoriał im. St. Krzymińskiego i B. Nowackiego • Leszno, 27- 30.03.2014 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Goździk,Mateusz,KS Pilica Tomaszów Maz.,360,181,3,541,393,150,8,543,753,331,11,1084,6
2.,Kasprzak,Łukasz,OSIR Vector Tarnowo Podgórne,364,155,10,519,356,165,7,521,720,320,17,1040,5
3.,Cwojdziński,Jakub,KS Alfa-Vector Tarnowo Podgórne,352,167,6,519,362,152,7,514,714,319,13,1033,4
4.,Pośladek ,Bartosz,TKKF Sokół Brzesko,345,147,11,492,329,173,8,502,674,320,19,994,3
5.,Gromadecki,Mateusz,OSIR Vector Tarnowo Podgórne,332,157,11,489,327,168,6,495,659,325,17,984,2
6.,Piotrowski,Wojciech,UKS Kormoran Sieraków,342,144,10,486,337,120,13,457,679,264,23,943,1
7.,Fot,Maciej,KK Dziewiątka-Amica Wronki,351,131,15,482,,,,,,,,,
8.,Lukaszewski,Patryk,KS Start Gostyń,356,121,13,477,,,,,,,,,
9.,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,342,129,16,471,,,,,,,,,
10.,Nowak ,Jędrzej,KS Start Gostyń,334,132,17,466,,,,,,,,,
11.,Byliński,Tomasz,OSIR Vector Tarnowo Podgórne,340,126,10,466,,,,,,,,,
12.,Płóciniczak ,Filip,KS Polonia 1912 Leszno,315,142,18,457,,,,,,,,,
13.,Skorczyk,Patryk,OSIR Vector Tarnowo Podgórne,331,125,14,456,,,,,,,,,
14.,Aleksandrzak,Marcin,KS Czarna Kula Poznań,317,138,16,455,,,,,,,,,
15.,Borowski,Szymon,UKS Kormoran Sieraków,307,144,15,451,,,,,,,,,
16.,Kaszkowiak,Maciej,KK Dziewiątka-Amica Wronki,338,105,21,443,,,,,,,,,
17.,Radzi,Mateusz,KK Dziewiątka-Amica Wronki,320,121,20,441,,,,PATRONAT MEDIALNY,,,,,
18.,Olczyk,Maciej,KK Dziewiątka-Amica Wronki,326,113,18,439,,,,,,,,,
19.,Bartkowiak,Mateusz,OSIR Vector Tarnowo Podgórne,333,105,14,438,,,,,,,,,
20.,Szkudlarek,Filip,KS Start Gostyń,290,134,9,424,,,,,,,,,
21.,Cypel,Hubert,KK Dziewiątka-Amica Wronki,294,121,26,415,,,,,,,,,
22.,Banaszak,Szymon,KS Start Gostyń,303,112,20,415,,,,,,,,,
23.,Kuta,Mateusz,KS Pilica Tomaszów Maz.,313,101,13,414,,,,,,,,,
24.,Szczechura,Radosław,MLKS Tucholanka Tuchola,295,114,22,409,,,,,,,,,
25.,Dura,Antoni,UKS Kormoran Sieraków,284,93,24,377,,,,,,,,,
26.,Śmiglak,Jakub,UKS Kormoran Sieraków,282,88,27,370,,,,,,,,,
27.,Siciński ,Oskar,"UKS ""1"" Świebodzice",244,102,25,346,,,,,,,,,
