"XXIII Memoriał St. Krzymińskiego i B. Nowackiego • Leszno, 07-10.04.2016 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Kwapisz,Dorota,KS Polonia 1912 Leszno,381,195,6,576,358,177,8,535,739,372,14,1111,6
2.,Dudziak ,Nicoletta,KS Polonia 1912 Leszno,357,187,5,544,357,200,1,557,714,387,6,1101,5
3.,Paszyk,Julia,KK Dziewiątka-Amica Wronki,364,176,7,540,344,177,4,521,708,353,11,1061,4
4.,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,366,164,5,530,355,173,4,528,721,337,9,1058,3
5.,Klunder ,Daria,MLKS Tucholanka Tuchola,337,192,4,529,361,160,6,521,698,352,10,1050,2
6.,Włodarczyk,Natalia,KS Polonia 1912 Leszno,365,171,5,536,356,149,6,505,721,320,11,1041,1
7.,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,355,147,7,502,360,174,6,534,715,321,13,1036,
8.,Dziamska,Jagoda,KS OSiR Vector Tarnowo Podgórne,370,144,12,514,337,157,11,494,707,301,23,1008,
9.,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,323,175,11,498,,,,,,,,,
10.,Cebula,Natalia,BOSiR Brzesko,347,148,16,495,,,,,,,,,
11.,Filipiec,Julia,KK Dziewiątka-Amica Wronki,342,152,13,494,,,,,,,,,
12.,Wawrzyniak,Oliwia,KS Start Gostyń,324,153,7,477,,,,,,,,,
13.,Kędziora,Weronika,KS Czarna Kula Poznań,350,124,10,474,,,,,,,,,
14.,Mrowiec ,Sandra,KS OSiR Vector Tarnowo Podgórne,334,139,14,473,,,,,,,,,
15.,Bonk,Aleksandra,KS Alfa-Vector Tarnowo Podgórne,352,120,10,472,,,PATRONAT MEDIALNY,,,,,,
16.,Torka,Weronika,KS Alfa-Vector Tarnowo Podgórne,311,153,14,464,,,,,,,,,
17.,Metlicka,Aleksandra,MLKS Tucholanka Tuchola,320,128,14,448,,,,,,,,,
18.,Wiśniewska,Klaudia,KS Czarna Kula Poznań,319,114,22,433,,,,,,,,,
