"XXIII Memoriał St. Krzymińskiego i B. Nowackiego • Leszno, 07-10.04.2016 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Łochowicz,Anna,KS Polonia 1912 Leszno,339,132,11,471,369,167,8,536,708,299,19,1007,6
2.,Kobiór,Nicola,KS Polonia Łaziska Górne,351,134,13,485,355,164,11,519,706,298,24,1004,5
3.,Ciszewska,Angelika,KS Polonia 1912 Leszno,343,151,7,494,341,144,4,485,684,295,11,979,4
4.,Banaszak,Aleksandra,KS Start Gostyń,316,141,11,457,325,124,17,449,641,265,28,906,3
5.,Konieczna,Julia,KK Dziewiątka-Amica Wronki,317,132,16,449,321,130,15,451,638,262,31,900,2
6.,Dziamska,Iwona,KS OSiR Vector Tarnowo Podgórne,321,129,18,450,297,121,11,418,618,250,29,868,1
7.,Przybysz,Angelika,KK Dziewiątka-Amica Wronki,297,140,15,437,,,,,,,,,
8.,Roszak,Weronika,KK Dziewiątka-Amica Wronki,321,111,14,432,,,,,,,,,
9.,Dudzik,Marika,KS Polonia 1912 Leszno,283,129,13,412,,,,PATRONAT MEDIALNY,,,,,
10.,Konieczna,Emilia,KK Dziewiątka-Amica Wronki,288,102,22,390,,,,,,,,,
11.,Wąsala,Maja,KS OSiR Vector Tarnowo Podgórne,216,84,12,300,DNF,,,,,,,,
