"XXIII Memoriał St. Krzymińskiego i B. Nowackiego • Leszno, 07-10.04.2016 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Cwojdziński,Jakub,KS Alfa-Vector Tarnowo Podgórne,352,157,9,509,364,183,3,547,716,340,12,1056,6
2.,Kuryło ,Jakub,BOSiR Brzesko,363,148,7,511,360,182,6,542,723,330,13,1053,5
3.,Kląskała,Jakub,KK Dziewiątka-Amica Wronki,355,184,3,539,339,152,8,491,694,336,11,1030,4
4.,Bartkowiak ,Krzysztof,KS OSiR Vector Tarnowo Podgórne,351,173,8,524,326,149,11,475,677,322,19,999,3
5.,Piasta ,Borys,KS Czarna Kula Poznań,338,148,12,486,336,130,16,466,674,278,28,952,2
6.,Byliński ,Marcin,KS OSiR Vector Tarnowo Podgórne,317,172,8,489,306,120,14,426,623,292,22,915,1
7.,Łochowicz,Filip,KS Polonia 1912 Leszno,340,130,16,470,,,,,,,,,
8.,Cypel,Hubert,KK Dziewiątka-Amica Wronki,325,140,13,465,,,,,,,,,
9.,Kraczewski,Mateusz,KS Polonia 1912 Leszno,346,114,22,460,,,,,,,,,
10.,Kluesza,Aleksander,MLKS Tucholanka Tuchola,327,130,10,457,,,,,,,,,
11,Szczepski,Mikołaj,KK Dziewiątka-Amica Wronki,330,124,6,454,,,,,,,,,
12,Bacza,Łukasz,Polonia Łaziska Górne,319,135,11,454,,,,,,,,,
13,Kozłowski,Bartosz,KK Dziewiątka-Amica Wronki,341,110,16,451,,,,,,,,,
14,Klemenski,Jan,KK Dziewiątka-Amica Wronki,321,129,12,450,,,,,,,,,
15,Dykier,Dominik,KS Polonia 1912 Leszno,310,119,19,429,,,,,,,,,
16,Dziamski,Artur,KS OSiR Vector Tarnowo Podgórne,311,111,22,422,,,,,,,,,
17,Grzywaczewski,Mateusz,KK Dziewiątka-Amica Wronki,313,105,17,418,,,,,,,,,
18,Górniak,Krystian,KK Dziewiątka-Amica Wronki,292,115,20,407,,,,,,,,,
19,Dworczyk,Patryk,KS OSiR Vector Tarnowo Podgórne,289,115,24,404,,,,,,,,,
20,Grzegorski,Antoni,KS Czarna Kula Poznań,296,102,22,398,,,,,,,,,
21,Anklam,Wojciech,KK Dziewiątka-Amica Wronki,293,100,23,393,,,,,,,,,
22,Kubiak,Mikołaj,KS OSiR Vector Tarnowo Podgórne,283,89,29,372,,,,,,,,,
