Finały juniorek młodszych 23.11.2014 r.,,,,,,,,,
,,,,,,,,,
Lp,Nazwisko ,Imię ,Klub,Elim.,Finał,,,,Łącznie
,,,,,Pełne,Zbier.,X,Razem,
1.,Grzelak,Patrycja,KK Dziewiątka-Amica Wronki,607,355,138,12,493,1100
2.,Brožková,Nina,SKK Primator Nachod,526,373,194,5,567,1093
3.,Majerová,Kateřina,SKK Primator Nachod,558,356,179,3,535,1093
4.,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,500,382,180,6,562,1062
5.,Bonk,Aleksandra,KS Alfa Vector Tarnowo Podg.,538,352,159,6,511,1049
6.,Szponar,Anita,OSiR Vector Tarnowo Podg.,526,368,147,12,515,1041
7.,Włodarczyk,Natalia,KS Polonia 1912 Leszno,528,336,156,7,492,1020
8.,Paszyk,Julia,KK Dziewiątka-Amica Wronki,507,348,153,4,501,1008
9.,Ciałoń,Katarzyna,KS Polonia Łaziska Górne,519,336,132,14,468,987
