XIV Turniej Świąteczny Gostyń 2013                                                                                 juniorki młodsze,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem,P,ZB,X,Razem
1.,Włodarczyk Natalia,KS Polonia 1912 Leszno,357,129,14,486,345,194,4,539,702,323,18,1025
2.,Wawrzyniak Oliwia,KS Start Gostyń,319,180,11,499,346,163,5,509,665,343,16,1008
3.,Mroczkiewicz Katarzyna,KK Dziewiątka-Amica Wronki,357,139,10,496,357,148,10,505,714,287,20,1001
4.,Grzelak Patrycja,KK Dziewiątka-Amica Wronki,348,160,10,508,353,120,12,473,701,280,22,981
5.,Stępczak Jolanta,KS Polonia 1912 Leszno,334,162,11,496,331,148,9,479,665,310,20,975
6.,Matecka Anna,KS Polonia 1912 Leszno,340,130,13,470,315,162,11,477,655,292,24,947
7.,Zygarłowska Dominika,KS Alfa-Vector Tarnowo Podgórne,336,133,14,469,,,,,,,,
8.,Torka Weronika,KS Alfa-Vector Tarnowo Podgórne,337,126,14,463,,,,,,,,
9.,Haładuda Olimpia,UKS Kormoran Sieraków,320,141,10,461,,,,,,,,
10.,Piotrowska Anna,KK Dziewiątka-Amica Wronki,329,130,10,459,,,,,,,,
11.,Grocholska Julia,KK Dziewiątka-Amica Wronki,335,120,16,455,,,,,,,,
12.,Kwapisz Dorota,KS Polonia 1912 Leszno,320,132,10,452,,,,,,,,
13.,Bonk Aleksandra,KS Alfa-Vector Tarnowo Podgórne,317,133,9,450,,,,,,,,
14.,Remisz Weronika,KK Dziewiątka-Amica Wronki,300,122,12,422,,,,,,,,
