XIV Turniej Świąteczny Gostyń 2013                                                                                 młodziczki,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem,P,ZB,X,Razem
1.,Dudziak Nicoletta,KS Polonia 1912 Leszno,309,140,13,449,354,135,13,489,663,275,26,938
2.,Szczepska Sandra,KK Dziewiątka-Amica Wronki,329,143,15,472,319,146,8,465,648,289,23,937
3.,Paszyk Julia,KK Dziewiątka-Amica Wronki,334,147,14,481,314,129,14,443,648,276,28,924
4.,Filipiec Julia,KK Dziewiątka-Amica Wronki,313,128,13,441,305,137,17,442,618,265,30,883
5.,Łochowicz  Anna,KS Polonia 1912 Leszno,324,114,14,438,307,138,14,445,631,252,28,883
6.,Jądrzyk Wiktoria,KK Dziewiątka-Amica Wronki,296,157,10,453,314,103,23,417,610,260,33,870
7.,Remisz Martyna,KK Dziewiątka-Amica Wronki,320,116,20,436,,,,,,,,
8.,Rosa Klaudia,KS Start Gostyń,308,117,10,425,,,,,,,,
9.,Ciszewska Angelika,KS Polonia 1912 Leszno,250,88,26,338,,,,,,,,
