XIV Turniej Świąteczny Gostyń 2013                                                                                 młodzicy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem,P,ZB,X,Razem
1.,Nowak Jędrzej,KS Start Gostyń,332,145,8,477,354,154,13,508,686,299,21,985
2.,Lukaszewski Patryk,KS Start Gostyń,352,142,10,494,333,156,11,489,685,298,21,983
3.,Sawala Mateusz,KK Dziewiątka-Amica Wronki,316,146,14,462,348,145,9,493,664,291,23,955
4.,Cwojdziński Jakub,KS Alfa-Vector Tarnowo Podgórne,325,137,12,462,358,134,13,492,683,271,25,954
5.,Piotrowski Wojciech,UKS Kormoran Sieraków,331,159,16,490,318,112,19,430,649,271,35,920
6.,Kaszkowiak Maciej,KK Dziewiątka-Amica Wronki,321,130,11,451,333,135,15,468,654,265,26,919
7.,Szkudlarek Filip,KS Start Gostyń,299,124,17,423,,,,,,,,
8.,Fot Maciej,KK Dziewiątka-Amica Wronki,304,119,20,423,,,,,,,,
9.,Banaszak Szymon,KS Start Gostyń,295,124,17,419,,,,,,,,
10.,Klemenski Jan,KK Dziewiątka-Amica Wronki,286,104,22,390,,,,,,,,
11.,Borowski Szymon,UKS Kormoran Sieraków,266,117,24,383,,,,,,,,
12.,Banaszak Michał,KS Start Gostyń,283,96,22,379,,,,,,,,
13.,Płóciniczak Filip,KS Polonia 1912 Leszno,270,67,31,337,,,,,,,,
14.,Dura Antoni,UKS Kormoran Sieraków,273,99,32,372,,,,,,,,
15.,Jóźwiak Jakub,UKS Kormoran Sieraków,210,85,42,295,,,,,,,,
