XXX Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 03-06.03.2016 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,376,193,1,569,373,189,2,562,749,382,3,1131,11
2,Dudziak,Nicoletta,KS Polonia 1912 Leszno,343,213,3,556,377,162,4,539,720,375,7,1095,9
3,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,354,184,4,538,366,176,2,542,720,360,6,1080,7
4,Pawłowska,Joanna,KS Pilica Tomaszów Mazowiecki,364,169,6,533,367,177,6,544,731,346,12,1077,5
5,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,357,166,3,523,370,175,0,545,727,341,3,1068,4
6,Bonk,Aleksandra,KS Alfa-Vector Tarnowo Podgórne,339,180,2,519,364,184,3,548,703,364,5,1067,3
7,Torka,Weronika,KS Alfa-Vector Tarnowo Podgórne,365,165,5,530,317,159,12,476,682,324,17,1006,2
8,Wojtaszek,Angelika,KS Pilica Tomaszów Mazowiecki,356,176,11,532,341,130,15,471,697,306,26,1003,1
9,Filipiec,Julia,KK Dziewiątka-Amica Wronki,355,160,4,515,,,,,,,,,
10,Sidło ,Julia,KS Pilica Tomaszów Mazowiecki,347,167,4,514,,,,,,,,,
11,Klunder,Daria,MLKS Tucholanka Tuchola,347,165,6,512,,,,,,,,,
12,Cebula,Natalia,BOSiR Brzesko,344,166,9,510,,,,,,,,,
13,Dziamska,Jagoda,OSiR-Vector Tarnowo Podgórne,336,168,7,504,,,,,,,,,
14,Grocholska,Julia,KK Dziewiątka-Amica Wronki,336,167,6,503,,,,,,,,,
15,Metlicka,Aleksandra,MLKS Tucholanka Tuchola,353,140,10,493,,,,,,,,,
16,Remisz,Martyna,KK Dziewiątka-Amica Wronki,328,164,9,492,,,,,,,,,
17,Remisz,Weronika,KK Dziewiątka-Amica Wronki,340,147,4,487,,,,,,,,,
18,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,339,141,9,480,,,,,,,,,
19,Kędziora,Weronika,KS Czarna Kula Poznań,318,161,10,479,,,,,,,,,
20,Gołębiewska,Marta,KS Zatoka Puck,337,139,7,476,,,,,,,,,
21,Mrowiec,Sandra,OSiR-Vector Tarnowo Podgórne,334,138,12,472,,,,,,,,,
22,Kreft,Agnieszka,TPK Wejherowo,328,138,13,466,,,,,,,,,
23,Woźniak,Karolina,MLKS Tucholanka Tuchola,359,104,19,463,,,,,,,,,
24,Wiśniewska,Klaudia,KS Czarna Kula Poznań,271,129,13,400,,,,,,,,,
25,Ehrich,Karolina,TPK Wejherowo,291,97,18,388,,,,,,,,,
