XXX Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 03-06.03.2016 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORZY MŁODSI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Tomczyk,Jakub,BOSiR Brzesko,350,211,2,561,380,185,0,565,730,396,2,1126,11
2,Ruszczyk ,Bartosz,KK Dziewiątka-Amica Wronki,358,195,1,553,383,179,4,562,741,374,5,1115,9
3,Klecha ,Mateusz,KS Polonia 1912 Leszno,365,202,1,567,363,183,2,546,728,385,3,1113,7
4,Machaj,Gracjan,KK Dziewiątka-Amica Wronki,362,198,3,560,347,187,3,534,709,385,6,1094,5
5,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,355,206,4,561,354,160,4,514,709,366,8,1075,4
6,Wysiński,Łukasz,MLKS Tucholanka Tuchola,363,174,8,537,362,170,10,532,725,344,18,1069,3
7,Kląskała,Mateusz,KK Dziewiątka-Amica Wronki,345,201,4,546,341,177,2,518,686,378,6,1064,2
8,Fot,Maciej,KK Dziewiątka-Amica Wronki,380,172,5,552,355,156,8,511,735,328,13,1063,1
9,Goździk,Mateusz,KS Pilica Tomaszów Mazowiecki,345,191,4,536,,,,,,,,,
10,Łazowski,Łukasz,BOSiR Brzesko,358,177,3,535,,,,,,,,,
11,Palacz,Kamil,KK Dziewiątka-Amica Wronki,359,174,1,533,,,,,,,,,
12,Nowacki,Aleksander,MLKS Tucholanka Tuchola,346,178,3,524,,,,,,,,,
13,Szydłowski,Igor,BOSiR Brzesko,357,160,5,517,,,,,,,,,
14,Knitter,Daniel,MLKS Tucholanka Tuchola,330,178,6,508,,,,,,,,,
15,Kreft,Daniel,KS Zatoka Puck,365,139,10,504,,,,,,,,,
16,Mrowiec,Patryk,OSiR-Vector Tarnowo Podgórne,345,156,7,501,,,,,,,,,
17,Kasprzak ,Łukasz,OSiR-Vector Tarnowo Podgórne,332,165,6,497,,,,,,,,,
18,Kuchnowski,Kacper,KS Zatoka Puck,348,147,17,495,,,,,,,,,
19,Dmowski,Jędrzej,OSiR-Vector Tarnowo Podgórne,353,141,9,494,,,,,,,,,
20,Tomaszewski,Michał,KS Polonia 1912 Leszno,341,148,8,489,,,,,,,,,
21,Olczyk,Maciej,KK Dziewiątka-Amica Wronki,328,160,6,488,,,,,,,,,
22,Kaszkowiak,Maciej,KK Dziewiątka-Amica Wronki,337,151,6,488,,,,,,,,,
23,Byliński,Tomasz,OSiR-Vector Tarnowo Podgórne,350,138,11,488,,,,,,,,,
24,Gromadecki,Mateusz,OSiR-Vector Tarnowo Podgórne,349,138,13,487,,,,,,,,,
25,Kosz,Szymon,KS Pilica Tomaszów Mazowiecki,325,145,8,470,,,,,,,,,
26,Radzi,Mateusz,KK Dziewiątka-Amica Wronki,335,130,9,465,,,,,,,,,
27,Milaszewski,Tomasz,KS Polonia 1912 Leszno,339,125,14,464,,,,,,,,,
