XXX Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 03-06.03.2016 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Łochowicz,Anna,KS Polonia 1912 Leszno,328,191,4,519,336,183,2,519,664,374,6,1038,11
2,Ciszewska,Angelika,KS Polonia 1912 Leszno,344,128,10,472,342,172,6,514,686,300,16,986,9
3,Przybysz,Angelika,KK Dziewiątka-Amica Wronki,327,146,14,473,337,169,10,506,664,315,24,979,7
4,Kobiór,Nicola,KS Polonia Łaziska Górne,319,157,11,476,331,147,11,478,650,304,22,954,5
5,Konieczna ,Julia,KK Dziewiątka-Amica Wronki,323,145,8,468,337,134,14,471,660,279,22,939,4
6,Wąsala,Maja,OSiR-Vector Tarnowo Podgórne,316,157,11,473,304,121,13,425,620,278,24,898,3
7,Roszak,Weronika,KK Dziewiątka-Amica Wronki,339,139,16,478,295,123,15,418,634,262,31,896,2
8,Dudzik ,Marika,KS Polonia 1912 Leszno,313,139,14,452,291,115,17,406,604,254,31,858,1
9,Dziamska,Iwona,OSiR-Vector Tarnowo Podgórne,326,126,18,452,,,,,,,,,
10,Stachowiak,Marta,OSiR-Vector Tarnowo Podgórne,318,129,13,447,,,,,,,,,
11,Bartkowiak,Wiktoria,KK Dziewiątka-Amica Wronki,312,127,18,439,,,,,,,,,
12,Konieczna ,Emilia,KK Dziewiątka-Amica Wronki,316,122,16,438,,,,,,,,,
13,Szulc,Dominika,KK Dziewiątka-Amica Wronki,297,114,19,411,,,,,,,,,
14,Benke,Ewa,MLKS Tucholanka Tuchola,289,111,18,400,,,,,,,,,
15,Springel,Barbara,KK Dziewiątka-Amica Wronki,297,99,20,396,,,,,,,,,
16,Fojud,Aleksandra,KK Dziewiątka-Amica Wronki,262,91,25,353,,,,,,,,,
