XXVIII Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 19-23.02.2014r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Piotrowska,Anna,KK Dziewiątka-Amica Wronki,377,216,3,593,344,180,5,524,721,396,8,1117,11
2,Brožková,Nina,SKK Primator Nachod,363,208,2,571,350,185,3,535,713,393,5,1106,9
3,Wegner,Justyna,MLKS Tucholanka Tuchola,384,154,9,538,327,218,10,545,711,372,19,1083,7
4,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,370,158,10,528,367,169,8,536,737,327,18,1064,5
5,Włodarczyk,Natalia,KS Polonia 1912 Leszno,339,195,2,534,343,176,4,519,682,371,6,1053,4
6,Stępczak,Jolanta,KS Polonia 1912 Leszno,362,169,6,531,341,152,5,493,703,321,11,1024,3
7,Szczukowska,Izabela,MLKS Tucholanka Tuchola,354,173,5,527,,,,,,,,,2
8,Grocholska,Julia,KK Dziewiątka-Amica Wronki,389,133,6,522,,,,,,,,,1
9,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,356,165,8,521,,,,,,,,,
10,Bonk,Aleksandra,KS Alfa-Vector Tarnowo Podgórne,363,158,9,521,,,,,,,,,
11,Nitka,Marta,MLKS Tucholanka Tuchola,373,148,8,521,,,,,,,,,
12,Grzelak,Patrycja,KK Dziewiątka-Amica Wronki,348,172,5,520,,,,,,,,,
13,Zalewska,Marta,MLKS Tucholanka Tuchola,335,175,10,510,,,,,,,,,
14,Szponar,Anita,KS OSiR-Vector Tarnowo Podgórne,353,147,12,500,,,,,,,,,
15,Remisz,Weronika,KK Dziewiątka-Amica Wronki,340,158,10,498,,,,,,,,,
16,Zygarłowska ,Dominika,KS Alfa-Vector Tarnowo Podgórne,337,160,8,497,,,,,,,,,
17,Haładuda,Olimpia,UKS Kormoran Sieraków,338,154,12,492,,,,,,,,,
18,Torka ,Weronika,KS Alfa-Vector Tarnowo Podgórne,349,136,14,485,,,,,,,,,
19,Klunder,Daria,MLKS Tucholanka Tuchola,336,135,10,471,,,,,,,,,
20,Kwapisz,Dorota,KS Polonia 1912 Leszno,320,141,12,461,,,,,,,,,
21,Pietrowska,Karolina,MLKS Tucholanka Tuchola,331,126,16,457,,,,,,,,,
22,Gołębiewska,Marta,KS Zatoka Puck,323,118,15,441,,,,,,,,,
23,Wiśniewska,Klaudia,KS Czarna Kula Poznań,267,94,26,361,,,,,,,,,
