XXVIII Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 19-23.02.2014r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1.,Majerová,Katerina,SKK Primator Nachod,351,151,8,502,359,171,3,530,710,322,11,1032,11
2.,Dudziak,Nicoletta,KS Polonia 1912 Leszno,365,165,4,530,350,148,8,498,715,313,12,1028,9
3.,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,363,137,11,500,358,167,10,525,721,304,21,1025,7
4.,Paszyk,Julia,KK Dziewiątka-Amica Wronki,344,140,10,484,363,165,7,528,707,305,17,1012,5
5.,Remisz,Martyna,KK Dziewiątka-Amica Wronki,347,147,10,494,348,144,12,492,695,291,22,986,4
6.,Przybysz,Angelika,KK Dziewiątka-Amica Wronki,337,144,9,481,,,,,,,,,3
7.,Wasik,Karolina,KK Dziewiątka-Amica Wronki,346,134,15,480,,,,,,,,,2
8.,Wziętek ,Klaudia,KK Dziewiątka-Amica Wronki,328,145,7,473,,,,,,,,,1
9.,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,348,125,12,473,,,,,,,,,
10.,Filipiec,Julia,KK Dziewiątka-Amica Wronki,343,123,12,466,,,,,,,,,
11.,Sarbak,Karolina,KK Dziewiątka-Amica Wronki,339,116,16,455,,,,,,,,,
12.,Mrowiec,Sandra,KS OSiR-Vector Tarnowo Podgórne,312,140,16,452,,,,,,,,,
13.,Skrzypkowiak,Wiktoria,KK Dziewiątka-Amica Wronki,298,130,13,428,,,,,,,,,
14.,Kędziora,Weronika,KS Czarna Kula Poznań,313,112,15,425,,,,,,,,,
15.,Ciszewska,Angelika,KS Polonia 1912 Leszno,299,113,18,412,,,,,,,,,
16.,Dziamska,Jagoda,KS OSiR-Vector Tarnowo Podgórne,291,114,26,405,,,,,,,,,
