XXIX Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 04-08.03.2015 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,329,212,0,541,370,188,4,558,699,400,4,1099,11
2,Bonk,Aleksandra,KS Alfa-Vector Tarnowo Podgórne,364,211,2,575,338,166,7,504,702,377,9,1079,9
3,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,380,174,5,554,365,149,9,514,745,323,14,1068,7
4,Klunder,Daria,MLKS Tucholanka Tuchola,377,149,4,526,340,167,4,507,717,316,8,1033,5
5,Pietrowska,Karolina,MLKS Tucholanka Tuchola,383,153,7,536,352,139,8,491,735,292,15,1027,4
6,Remisz,Martyna,KK Dziewiątka-Amica Wronki,358,167,5,525,350,142,4,492,708,309,9,1017,3
7,Torka,Weronika,KS Alfa-Vector Tarnowo Podgórne,349,172,8,521,,,,,,,,,2
8,Kwapisz,Dorota,KS Polonia 1912 Leszno,360,153,9,513,,,,,,,,,1
9,Grzelak,Patrycja,KK Dziewiątka-Amica Wronki,344,167,5,511,,,,,,,,,
10,Paszyk,Julia,KK Dziewiątka-Amica Wronki,354,157,6,511,,,,,,,,,
11,Remisz,Weronika,KK Dziewiątka-Amica Wronki,362,147,10,509,,,,,,,,,
12,Grocholska,Julia,KK Dziewiątka-Amica Wronki,337,169,7,506,,,,,,,,,
13,Gołębiewska,Marta,KS Zatoka Puck,349,153,8,502,,,,,,,,,
14,Dziamska,Jagoda,KS OSiR-Vector Tarnowo Podgórne,346,146,8,492,,,,,,,,,
15,Jędryka,Ewa,TKKF Sokół Brzesko,340,136,13,476,,,,,,,,,
16,Wawrzyniak,Oliwia,KS Start Gostyń,326,147,9,473,,,,,,,,,
17,Zalewska,Marta,MLKS Tucholanka Tuchola,347,126,9,473,,,,,,,,,
18,Ehrlich,Karolina,TPK Wejherowo,306,148,11,454,,,,,,,,,
19,Szponar,Anita,KS OSiR-Vector Tarnowo Podgórne,323,129,12,452,,,,,,,,,
20,Woźniak,Karolina,MLKS Tucholanka Tuchola,313,120,13,433,,,,,,,,,
21,Kędziora,Weronika,KS Czarna Kula Poznań,319,106,18,425,,,,,,,,,
22,Wiśniewska,Klaudia,KS Czarna Kula Poznań,294,121,13,415,,,,,,,,,
