XXIX Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 04-08.03.2015 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORZY MŁODSI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Ratajczak,Tymoteusz,KK Dziewiątka-Amica Wronki,411,180,2,591,358,192,0,550,769,372,2,1141,11
2,Kozłowski,Maciej,KS OSiR-Vector Tarnowo Podgórne,380,173,4,553,394,186,10,580,774,359,14,1133,9
3,Klecha,Mateusz,KS Polonia 1912 Leszno,364,181,0,545,372,180,2,552,736,361,2,1097,7
4,Lukaszewski,Patryk,KS Start Gostyń,359,207,2,566,345,185,5,530,704,392,7,1096,5
5,Gierszewski,Marek,MLKS Tucholanka Tuchola,352,195,4,547,357,185,2,542,709,380,6,1089,4
6,Rybiński,Alan,KS Polonia 1912 Leszno,389,170,5,559,388,142,9,530,777,312,14,1089,3
7,Kląskała,Mateusz,KK Dziewiątka-Amica Wronki,373,171,5,544,361,175,5,536,734,346,10,1080,2
8,Kaliski,Szymon,KS Polonia 1912 Leszno,376,198,4,574,353,132,10,485,729,330,14,1059,1
9,Michalak,Jędrzej,KS Start Gostyń,373,182,2,555,339,164,1,503,712,346,3,1058,
10,Nowak,Dawid,KS Czarna Kula Poznań,381,169,5,550,349,156,7,505,730,325,12,1055,
11,Michalak,Kacper,KS Start Gostyń,378,161,5,539,,,,,,,,,
12,Nowak,Patryk,KS Czarna Kula Poznań,362,172,7,534,,,,,,,,,
13,Łuczak,Dawid,MLKS Tucholanka Tuchola,370,161,9,531,,,,,,,,,
14,Palacz,Kamil,KK Dziewiątka-Amica Wronki,343,187,2,530,,,,,,,,,
15,Radzi,Mateusz,KK Dziewiątka-Amica Wronki,373,154,11,527,,,,,,,,,
16,Mrowiec,Patryk,KS OSiR-Vector Tarnowo Podgórne,365,159,10,524,,,,,,,,,
17,Skorczyk,Patryk,KS OSiR-Vector Tarnowo Podgórne,348,163,6,511,,,,,,,,,
18,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,341,163,2,504,,,,,,,,,
19,Tomaszewski,Michał,KS Polonia 1912 Leszno,334,168,9,502,,,,,,,,,
20,Henschel,Gracjan,KS Czarna Kula Poznań,346,154,12,500,,,,,,,,,
21,Kreft,Daniel,KS Zatoka Puck,341,156,11,497,,,,,,,,,
22,Gromadecki,Mateusz,KS OSiR-Vector Tarnowo Podgórne,348,149,6,497,,,,,,,,,
23,Nowak,Jędrzej,KS Start Gostyń,344,150,8,494,,,,,,,,,
24,Kuchnowski,Kacper,KS Zatoka Puck,362,132,14,494,,,,,,,,,
25,Nowacki,Aleksander,MLKS Tucholanka Tuchola,323,164,6,487,,,,,,,,,
26,Ruszczyk,Bartosz,KK Dziewiątka-Amica Wronki,330,152,5,482,,,,,,,,,
27,Cwojdziński,Tomasz,KS Alfa-Vector Tarnowo Podgórne,333,147,7,480,,,,,,,,,
28,Stankiewicz,Adrian,TKKF Dębinki Gdańsk,323,153,10,476,,,,,,,,,
29,Mazur,Wiktor,KS OSiR-Vector Tarnowo Podgórne,332,143,12,475,,,,,,,,,
30,Pośladek,Bartosz,TKKF Sokół Brzesko,344,131,9,475,,,,,,,,,
31,Czernecki,Damian,TKKF Sokół Brzesko,348,125,9,473,,,,,,,,,
32,Kasprzak,Łukasz,KS OSiR-Vector Tarnowo Podgórne,320,149,7,469,,,,,,,,,
33,Wisiński,Łukasz,MLKS Tucholanka Tuchola,364,105,16,469,,,,,,,,,
34,Frąckowiak,Rafał,KS Start Gostyń,318,138,16,456,,,,,,,,,
