XXIX Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 04-08.03.2015 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,384,183,2,567,343,190,4,533,727,373,6,1100,11
2,Dudziak,Nicoletta,KS Polonia 1912 Leszno,352,183,6,535,371,186,4,557,723,369,10,1092,9
3,Filipiec,Julia,KK Dziewiątka-Amica Wronki,367,176,5,543,361,132,9,493,728,308,14,1036,7
4,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,357,145,10,502,360,171,4,531,717,316,14,1033,5
5,Metlicka,Aleksandra,MLKS Tucholanka Tuchola,330,167,8,497,341,135,12,476,671,302,20,973,4
6,Ciszewska,Angelika,KS Polonia 1912 Leszno,327,163,8,490,334,120,13,454,661,283,21,944,3
7,Gurgul,Karolina,TKKF Sokół Brzesko,338,151,16,489,,,,,,,,,2
8,Przybysz,Angelika,KK Dziewiątka-Amica Wronki,337,151,7,488,,,,,,,,,1
9,Babraj,Anna,TKKF Sokół Brzesko,343,145,11,488,,,,,,,,,
10,Mrowiec,Sandra,KS OSiR-Vector Tarnowo Podgórne,328,156,11,484,,,,,,,,,
11,Roszak,Weronika Małgorzata,KK Dziewiątka-Amica Wronki,315,166,8,481,,,,,,,,,
12,Sarbak,Karolina,KK Dziewiątka-Amica Wronki,331,145,10,476,,,,,,,,,
13,Szczerkowska,Weronika,TPK Wejherowo,338,135,17,473,,,,,,,,,
14,Batko,Klaudia,TKKF Sokół Brzesko,326,138,13,464,,,,,,,,,
15,Łochowicz ,Anna,KS Polonia 1912 Leszno,318,141,11,459,,,,,,,,,
16,Michalska,Alicja,KK Dziewiątka-Amica Wronki,321,126,15,447,,,,,,,,,
17,Woźniak,Natalia,MLKS Tucholanka Tuchola,333,103,20,436,,,,,,,,,
17,,,TPK Wejherowo,,,,0,,,,,,,,,
18,Czepczor,Dagmara,KK Dziewiątka-Amica Wronki,323,95,20,418,,,,,,,,,
19,Benke,Ewa,MLKS Tucholanka Tuchola,296,98,23,394,,,,,,,,,
20,Roszak,Weronika ,KK Dziewiątka-Amica Wronki,303,86,19,389,,,,,,,,,
