,, Indywidualne Mistrzostwa Polski Juniorek młodszych Tomaszów Mazowiecki 2017                                                                                                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyscyplina,Konkurencja,M-ce,Medal,Nazwisko i Imię,Licencja nr,Rocznik,Klub,Numer licencji klubowej,Województwo,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,ELIMINACJE,,,,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,FINAŁ,,,,RAZEM,,,,PKT
,,,,,,,,,,P ,Zb,x,R,P ,Zb,x,R,P ,Zb,x,R,P ,Zb,x,R,P,Zb,X,Razem,P ,Zb,x,R,P ,Zb,x,R,P ,Zb,x,R,P ,Zb,x,R,P,Zb,X,Razem,P,Zb,X,R,
Kręglarstwo,Juniorki młodsze,1.,złoty,Mroczkiewicz Katarzyna,1989/10,1999,KK Dziewiątka-Amica Wronki,20/98,Wielkopolskie,83,40,2,123,97,42,2,139,85,33,1,118,95,43,1,138,360,158,6,518,97,36,0,133,94,45,0,139,89,54,1,143,103,36,1,139,383,171,2,554,743,329,8,1072,9
Kręglarstwo,Juniorki młodsze,2.,srebrny,Dudziak Nicoletta,2357/12,2001,KS Polonia 1912 Leszno,1/97,Wielkopolskie,89,43,2,132,101,49,3,150,83,50,0,133,79,32,4,111,352,174,9,526,87,35,2,122,90,53,1,143,92,51,0,143,89,36,0,125,358,175,3,533,710,349,12,1059,7
Kręglarstwo,Juniorki młodsze,3.,brązowy,Sidło Julia,2404/12,2000,KS Pilica Tomaszów Mazowiecki,7/97,Łódzkie,91,36,1,127,84,45,0,129,98,44,0,142,78,43,1,121,351,168,2,519,88,58,0,146,90,41,0,131,90,32,2,122,92,33,1,125,360,164,3,524,711,332,5,1043,6
Kręglarstwo,Juniorki młodsze,4.,,Cebula Natalia,2560/15,2000,BOSiR Brzesko,30/2014,Małopolskie,93,45,1,138,90,43,0,133,77,35,5,112,89,35,1,124,349,158,7,507,86,43,1,129,91,53,4,144,68,53,1,121,92,33,6,125,337,182,12,519,686,340,19,1026,5
Kręglarstwo,Juniorki młodsze,5.,,Łochowicz Anna,2454/13,2002,KS Polonia 1912 Leszno,1/97,Wielkopolskie,93,48,1,141,80,44,2,124,97,36,1,133,81,40,2,121,351,168,6,519,91,54,1,145,98,36,3,134,74,36,3,110,80,32,1,112,343,158,8,501,694,326,14,1020,5
Kręglarstwo,Juniorki młodsze,6.,,Ciszewska Angelika,2487/13,2001,KS Polonia 1912 Leszno,1/97,Wielkopolskie,86,34,3,120,87,43,4,130,83,43,2,126,83,38,3,121,339,158,12,497,91,43,1,134,84,53,3,137,85,35,2,120,85,44,1,129,345,175,7,520,684,333,19,1017,4
Kręglarstwo,Juniorki młodsze,7.,,Brodziszewska Julia,1946/10,1998,KK Dziewiątka-Amica Wronki,20/98,Wielkopolskie,94,41,1,135,87,39,1,126,84,40,2,124,85,44,1,129,350,164,5,514,86,45,1,131,85,35,2,120,79,42,2,121,80,44,1,124,330,166,6,496,680,330,11,1010,4
Kręglarstwo,Juniorki młodsze,8.,,Paduszyńska Katarzyna,2601/15,2001,KS Pilica Tomaszów Mazowiecki,7/97,Łódzkie,95,40,1,135,90,48,2,138,77,44,1,121,72,34,3,106,334,166,7,500,71,27,3,98,94,42,0,136,95,43,2,138,84,34,3,118,344,146,8,490,678,312,15,990,4
Kręglarstwo,Juniorki młodsze,9.,,Jądrzyk Wiktoria,2376/12,2001,KK Dziewiątka-Amica Wronki,20/98,Wielkopolskie,90,41,0,131,97,36,3,133,93,25,5,118,79,45,0,124,359,147,8,506,83,42,3,125,89,33,2,122,80,41,0,121,92,22,6,114,344,138,11,482,703,285,19,988,3
Kręglarstwo,Juniorki młodsze,10.,,Pawłowska Joanna,2314/12,1999,KS Pilica Tomaszów Mazowiecki,7/97,Łódzkie,91,32,4,123,79,59,0,138,86,50,1,136,80,35,0,115,336,176,5,512,90,32,2,122,76,36,2,112,85,36,1,121,84,32,2,116,335,136,7,471,671,312,12,983,3
Kręglarstwo,Juniorki młodsze,11.,,Gurgul Karolina,2497/14,2000,BOSiR Brzesko,30/2014,Małopolskie,84,35,3,119,97,44,1,141,97,30,1,127,78,45,0,123,356,154,5,510,79,31,3,110,82,23,7,105,83,45,3,128,87,40,2,127,331,139,15,470,687,293,20,980,3
Kręglarstwo,Juniorki młodsze,12.,,Metlicka Aleksandra,2525/14,2001,MLKS Tucholanka Tuchola,5/97,Kujawsko-Pomorskie,90,44,2,134,79,34,2,113,81,27,4,108,87,26,5,113,337,131,13,468,84,36,2,120,95,53,1,148,99,16,8,115,81,42,2,123,359,147,13,506,696,278,26,974,3
Kręglarstwo,Juniorki młodsze,13.,,Mrowiec Sandra,2361/12,2001,OSiR Vector Tarnowo Podgórne,30/2010/K,Wielkopolskie,88,50,1,138,81,34,2,115,87,44,0,131,88,35,4,123,344,163,7,507,86,36,3,122,83,35,4,118,86,26,3,112,85,29,3,114,340,126,13,466,684,289,20,973,2
Kręglarstwo,Juniorki młodsze,14.,,Wojtaszek Angelika,2315/12,1999,KS Pilica Tomaszów Mazowiecki,7/97,Łódzkie,83,35,1,118,74,35,3,109,92,34,5,126,90,17,8,107,339,121,17,460,73,36,2,109,87,43,2,130,85,51,1,136,85,39,0,124,330,169,5,499,669,290,22,959,2
Kręglarstwo,Juniorki młodsze,15.,,Szczepska Sandra,2373/12,2001,KK Dziewiątka-Amica Wronki,20/98,Wielkopolskie,83,35,4,118,88,43,0,131,83,45,1,128,81,27,2,108,335,150,7,485,78,27,3,105,87,45,1,132,82,35,1,117,90,27,4,117,337,134,9,471,672,284,16,956,2
Kręglarstwo,Juniorki młodsze,16.,,Dziamska Jagoda,2471/13,2000,OSiR Vector Tarnowo Podgórne,30/2010/K,Wielkopolskie,91,27,3,118,74,53,0,127,99,16,7,115,82,34,3,116,346,130,13,476,92,52,2,144,64,16,7,80,68,26,4,94,82,40,1,122,306,134,14,440,652,264,27,916,2
Kręglarstwo,Juniorki młodsze,17.,,Paterok Aleksandra,2646/16,2002,KS Polonia Łaziska Górne,8/97,Śląskie,80,35,3,115,87,25,5,112,73,35,2,108,80,35,2,115,320,130,12,450,88,18,4,106,85,26,5,111,74,27,2,101,74,27,3,101,321,98,14,419,641,228,26,869,1
Kręglarstwo,Juniorki młodsze,18.,,Bucholc Natalia,2675/16,2001,MLKS Tucholanka Tuchola,5/97,Kujawsko-Pomorskie,81,23,5,104,79,44,3,123,76,33,3,109,73,43,1,116,309,143,12,452,78,32,5,110,66,13,9,79,62,25,8,87,67,32,3,99,273,102,25,375,582,245,37,827,1
Kręglarstwo,Juniorki młodsze,19.,,Leśniewska Małgorzata,2437/13,1999,KS Pilica Tomaszów Mazowiecki,7/97,Łódzkie,78,44,2,122,82,29,3,111,73,34,4,107,80,27,5,107,313,134,14,447,,,,,,,,,,,,,,,,,,,,,,,,,1
Kręglarstwo,Juniorki młodsze,20.,,Paszyk Julia,2180/11,1999,KK Dziewiątka-Amica Wronki,20/98,Wielkopolskie,77,27,3,104,76,44,3,120,73,26,4,99,68,34,2,102,294,131,12,425,,,,,,,,,,,,,,,,,,,,,,,,,1
Kręglarstwo,Juniorki młodsze,21.,,Krefft Agnieszka,2517/14,2001,TPK Wejherowo,23/2005,Pomorskie,83,27,3,110,88,26,5,114,66,34,4,100,75,24,4,99,312,111,16,423,,,,,,,,,,,,,,,,,,,,,,,,,1
Kręglarstwo,Juniorki młodsze,22.,,Nowak Natalia,2714/17,2002,KK Wrzos Sieraków,20/98,Wielkopolskie,64,17,8,81,69,35,4,104,84,18,7,102,83,33,2,116,300,103,21,403,,,,,,,,,,,,,,,,,,,,,,,,,1
Kręglarstwo,Juniorki młodsze,23.,,Wruck Weronika,2644/16,2000,MLKS Tucholanka Tuchola,5/97,Kujawsko-Pomorskie,70,18,8,88,79,8,11,87,66,45,4,111,77,35,3,112,292,106,26,398,,,,,,,,,,,,,,,,,,,,,,,,,1
Kręglarstwo,Juniorki młodsze,24.,,Benke Ewa,2551/15,2001,MLKS Tucholanka Tuchola,5/97,Kujawsko-Pomorskie,70,33,3,103,71,21,8,92,76,17,7,93,76,27,4,103,293,98,22,391,,,,,,,,,,,,,,,,,,,,,,,,,1
Kręglarstwo,Juniorki młodsze,25.,,Paszyk Weronika,2700/17,980714,KK Wrzos Sieraków,20/98,Wielkopolskie,66,26,4,92,73,30,0,103,69,25,3,94,69,26,5,95,277,107,12,384,,,,,,,,,,,,,,,,,,,,,,,,,
Kręglarstwo,Juniorki młodsze,26.,,Stróżyńska Marcelina,2669/26,2001,KS Polonia 1912 Leszno,1/97,Wielkopolskie,56,17,9,73,55,17,10,72,59,25,6,84,70,25,8,95,240,84,33,324,,,,,,,,,,,,,,,,,,,,,,,,,
Kręglarstwo,Juniorki młodsze,27.,,Batko Klaudia,2555/15,2001,BOSiR Brzesko,30/2014,Małopolskie,78,34,2,112,67,35,4,102,0,0,0,0,0,0,0,0,145,69,6,214,,,,,,,,,,,,,,,,,,,,,,,,,
