XXXI Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 01-05.03.2017 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,361,225,1,586,378,179,2,557,739,404,3,1143,11
2,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,370,218,2,588,363,169,4,532,733,387,6,1120,9
3,Metlicka,Aleksandra,MLKS Tucholanka Tuchola,370,165,7,535,368,182,3,550,738,347,10,1085,7
4,Dudziak,Nicoletta,KS Polonia 1912 Leszno,368,166,6,534,365,181,1,546,733,347,7,1080,5
5,Gurgul,Karolina,BOSiR Brzesko,369,167,5,536,356,179,2,535,725,346,7,1071,4
6,Paszyk,Julia,KK Dziewiątka-Amica Wronki,369,161,6,530,377,160,5,537,746,321,11,1067,3
7,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,350,179,5,529,354,183,4,537,704,362,9,1066,2
8,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,362,178,4,540,349,153,9,502,711,331,13,1042,1
9,Sidło,Julia,KS Pilica Tomaszów Mazowiecki,357,171,7,528,,,,,,,,,
10,Wojtaszek,Angelika,KS Pilica Tomaszów Mazowiecki,379,149,12,528,,,,Koniec eliminacji 19.30,,,,,
11,Cebula,Natalia,BOSiR Brzesko,362,165,8,527,,,,,,,,,
12,Pawłowska,Joanna,KS Pilica Tomaszów Mazowiecki,337,182,8,519,,,,,,,,,
13,Mrowiec,Sandra,OSiR-Vector Tarnowo Podgórne,350,147,10,497,,,,,,,,,
14,Babraj ,Anna,BOSiR Brzesko,325,168,6,493,,,,,,,,,
15,Kreft,Agnieszka,TPT Wejherowo,352,141,14,493,,,,,,,,,
16,Bucholc ,Natalia,MLKS Tucholanka Tuchola,348,142,13,490,,,,,,,,,
17,Łochowicz,Anna,KS Polonia 1912 Leszno,358,129,13,487,,,,,,,,,
18,Benke,Ewa,MLKS Tucholanka Tuchola,334,148,14,482,,,,,,,,,
19,Wruck,Weronika,MLKS Tucholanka Tuchola,344,137,11,481,,,,,,,,,
20,Batko,Klaudia,BOSiR Brzesko,324,154,9,478,,,,,,,,,
21,Ciszewska ,Angelika,KS Polonia 1912 Leszno,320,153,8,473,,,,,,,,,
22,Paszyk,Weronika,KK Wrzos Sieraków,325,140,17,465,,,,,,,,,
23,Dziamska ,Jagoda,OSiR-Vector Tarnowo Podgórne,327,135,13,462,,,,,,,,,
24,Paterok,Aleksandra,KS Polonia Łaziska Górne,333,129,13,462,,,,,,,,,
25,Stróżyńska,Marcelina,KS Polonia 1912 Leszno,320,139,16,459,,,,,,,,,
26,Nowak,Natalia,KK Wrzos Sieraków,312,126,12,438,,,,,,,,,
27,Liżewska,Julia,KS Polonia Łaziska Górne,285,97,27,382,,,,,,,,,
