XXXI Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 01-05.03.2017 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORZY MŁODSI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Kuchnowski,Kacper,KS Zatoka Puck,397,220,4,617,354,170,8,524,751,390,12,1141,11
2,Tomczyk,Jakub,BOSiR Brzesko,361,192,3,553,367,200,4,567,728,392,7,1120,9
3,Kosz,Szymon,KS Pilica Tomaszów Mazowiecki,381,194,7,575,365,162,6,527,746,356,13,1102,7
4,Goździk,Mateusz,KS Pilica Tomaszów Mazowiecki,355,191,4,546,371,182,3,553,726,373,7,1099,5
5,Olczyk,Maciej,KK Dziewiątka-Amica Wronki,360,188,4,548,369,175,3,544,729,363,7,1092,4
6,Byliński,Tomasz,OSiR-Vector Tarnowo Podgórne,369,184,4,553,341,184,4,525,710,368,8,1078,3
7,Czernecki,Damian,BOSiR Brzesko,374,170,12,544,351,158,9,509,725,328,21,1053,2
8,Skalski,Filip,KS Pilica Tomaszów Mazowiecki,366,179,7,545,329,156,8,485,695,335,15,1030,1
9,Łazowski,Łukasz,BOSiR Brzesko,355,179,3,534,,,,,,,,,
10,Mrowiec,Patryk,OSiR-Vector Tarnowo Podgórne,368,166,10,534,,,,Koniec eliminacji 22.30,,,,,
11,Ruszczyk,Bartosz,KK Dziewiątka-Amica Wronki,355,178,8,533,,,,,,,,,
12,Machaj,Gracjan,KK Dziewiątka-Amica Wronki,360,170,2,530,,,,,,,,,
13,Gromadecki,Mateusz,OSiR-Vector Tarnowo Podgórne,367,163,9,530,,,,,,,,,
14,Klemenski,Jan,KK Dziewiątka-Amica Wronki,385,145,13,530,,,,,,,,,
15,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,343,185,5,528,,,,,,,,,
16,Wysiński,Łukasz,MLKS Tucholanka Tuchola,349,174,7,523,,,,,,,,,
17,Radzi,Mateusz,KK Dziewiątka-Amica Wronki,376,144,7,520,,,,,,,,,
18,Fot,Maciej,KK Dziewiątka-Amica Wronki,359,160,2,519,,,,,,,,,
19,Dmowski,Jędrzej,OSiR-Vector Tarnowo Podgórne,361,158,8,519,,,,,,,,,
20,Kaszkowiak,Maciej,KK Dziewiątka-Amica Wronki,369,146,8,515,,,,,,,,,
21,Adamski,Dawid,KS Pilica Tomaszów Mazowiecki,344,170,10,514,,,,,,,,,
22,Gruszczyński,Jan,KS Polonia 1912 Leszno,338,170,3,508,,,,,,,,,
23,Górniak,Krystian,KK Dziewiątka-Amica Wronki,366,139,10,505,,,,,,,,,
24,Rybiński,Alan,KS Polonia 1912 Leszno,332,166,6,498,,,,,,,,,
25,Gołębiewski,Jerzy,KS Zatoka Puck,344,153,6,497,,,,,,,,,
26,Cwojdziński,Jakub,OSiR-Vector Tarnowo Podgórne,335,157,7,492,,,,,,,,,
27,Kasprzak,Łukasz,OSiR-Vector Tarnowo Podgórne,345,145,11,490,,,,,,,,,
28,Nowak,Wiktor,KK Wrzos Sieraków,345,143,7,488,,,,,,,,,
29,Pośladek,Bartosz,BOSiR Brzesko,330,147,9,477,,,,,,,,,
30,Erkier,Łukasz,KS Polonia Łaziska Górne,333,140,13,473,,,,,,,,,
31,Muzolf,Norbert,MLKS Tucholanka Tuchola,340,133,15,473,,,,,,,,,
32,Szydłowski,Igor,BOSiR Brzesko,335,135,6,470,,,,,,,,,
33,Grzona,Bartosz,MLKS Tucholanka Tuchola,328,138,11,466,,,,,,,,,
34,Piwoński,Miłosz,MLKS Tucholanka Tuchola,328,138,13,466,,,,,,,,,
35,Szczepski,Mikołaj,KK Dziewiątka-Amica Wronki,334,122,18,456,,,,,,,,,
36,Mizgała,Marcin,KS Polonia Łaziska Górne,321,120,15,441,,,,,,,,,
