XXXI Ogólnopolski Młodzieżowy Turniej Kręglarski o Puchar Wronek ,,,,,,,,,,,,,,,,
Wronki 01-05.03.2017 r.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,SUMA,,,,
Miej.,Nazwisko,Imię,Klub,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,PKT
1,Przewoźny,Krzysztof,KK Dziewiątka-Amica Wronki,371,185,5,556,358,201,4,559,729,386,9,1115,11
2,Wilk,Tobiasz,KK Dziewiątka-Amica Wronki,362,183,8,545,362,176,4,538,724,359,12,1083,9
3,Anklam,Wojciech,KK Dziewiątka-Amica Wronki,357,177,5,534,363,181,3,544,720,358,8,1078,7
4,Kuryło,Jakub,BOSiR Brzesko,348,176,3,524,376,166,3,542,724,342,6,1066,5
5,Kraczewski,Mateusz,KS Polonia 1912 Leszno,356,156,10,512,327,152,5,479,683,308,15,991,4
6,Kolonko ,Igor,KS Polonia Łaziska Górne,354,155,16,509,342,124,16,466,696,279,32,975,3
7,Kozłowski,Bartosz,KK Dziewiątka-Amica Wronki,353,152,7,505,324,133,12,457,677,285,19,962,2
8,Prętki,Kevin,KK Dziewiątka-Amica Wronki,351,154,15,505,327,122,14,449,678,276,29,954,1
9,Izydorek,Daniel,KS Czarna Kula Poznań,351,153,15,504,,,,,,,,,
10,Skalski,Michał,KS Pilica Tomaszów Mazowiecki,349,145,13,494,,,,Koniec eliminacji 22.30,,,,,
11,Kmieciak,Maksymilian,KK Wrzos Sieraków,363,131,18,494,,,,,,,,,
12,Sowik,Igor,KS Pilica Tomaszów Mazowiecki,346,147,9,493,,,,,,,,,
13,Kauzonowski,Kacper,MLKS Tucholanka Tuchola,349,140,15,489,,,,,,,,,
14,Piasta,Borys,KS Czarna Kula Poznań,320,162,12,482,,,,,,,,,
15,Bacza,Łukasz,KS Polonia Łaziska Górne,323,159,10,482,,,,,,,,,
16,Bryćko,Klaudiusz,KK Dziewiątka-Amica Wronki,348,130,21,478,,,,,,,,,
17,Łochowicz,Filip,KS Polonia 1912 Leszno,345,129,8,474,,,,,,,,,
18,Kląskała,Jakub,KK Dziewiątka-Amica Wronki,350,123,13,473,,,,,,,,,
19,Dziamski,Artur,OSiR-Vector Tarnowo Podgórne,334,135,13,469,,,,,,,,,
20,Erkier,Jakub,KS Polonia Łaziska Górne,334,135,16,469,,,,,,,,,
21,Olejniczak,Rafał,KK Dziewiątka-Amica Wronki,351,118,23,469,,,,,,,,,
22,Wojtaszek,Maciej,KS Pilica Tomaszów Mazowiecki,349,119,16,468,,,,,,,,,
23,Kaczmarek,Kamil,KK Dziewiątka-Amica Wronki,319,142,9,461,,,,,,,,,
24,Nowacki,Antoni,KS Polonia 1912 Leszno,314,145,13,459,,,,,,,,,
25,Molik,Jakub,KK Wrzos Sieraków,321,137,17,458,,,,,,,,,
26,Byliński,Marcin,OSiR-Vector Tarnowo Podgórne,321,132,15,453,,,,,,,,,
27,Szymański ,Maciej,KS Zatoka Puck,331,119,21,450,,,,,,,,,
28,Zastawnik,Gabriel,BOSiR Brzesko,334,113,18,447,,,,,,,,,
29,Grzywaczewski,Mateusz,KK Dziewiątka-Amica Wronki,325,119,11,444,,,,,,,,,
30,Fraś,Marcin,KK Dziewiątka-Amica Wronki,319,120,17,439,,,,,,,,,
31,Bryćko,Alan,KK Dziewiątka-Amica Wronki,328,110,18,438,,,,,,,,,
32,Moliński,Jakub,KK Dziewiątka-Amica Wronki,316,120,18,436,,,,,,,,,
33,Dworczyk,Patryk,OSiR-Vector Tarnowo Podgórne,336,96,26,432,,,,,,,,,
34,Sawala,Maciej,KK Dziewiątka-Amica Wronki,298,130,17,428,,,,,,,,,
35,Spryszyński,Szymon,KS Zatoka Puck,307,118,20,425,,,,,,,,,
36,Korzeniewski ,Nikodem,MLKS Tucholanka Tuchola,323,101,25,424,,,,,,,,,
37,Kubiak,Mikołaj,OSiR-Vector Tarnowo Podgórne,310,113,23,423,,,,,,,,,
38,Ormanin ,Norbert,KS Polonia Łaziska Górne,281,101,23,382,,,,,,,,,
39,Krupka,Kacper,KK Dziewiątka-Amica Wronki,272,91,26,363,,,,,,,,,
40,Molik,Mateusz,KK Wrzos Sieraków,236,79,30,315,,,,,,,,,
