"XXIV Memoriał St. Krzymińskiego i B. Nowackiego • Leszno, 26-30.04.2017 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,350,191,3,541,362,195,5,557,712,386,8,1098,6
2,Pawłowska ,Joanna,Pilica Tomaszów Mazowiecki,373,157,10,530,355,200,8,555,728,357,18,1085,5
3,Dudziak,Nicoletta,KS Polonia 1912 Leszno,371,157,5,528,371,179,4,550,742,336,9,1078,4
4,Wojtaszek,Angelika,Pilica Tomaszów Mazowiecki,363,175,3,538,353,181,6,534,716,356,9,1072,3
5,Ciszewska ,Angelika,KS Polonia 1912 Leszno,335,194,7,529,360,180,10,540,695,374,17,1069,2
6,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,369,175,8,544,343,176,4,519,712,351,12,1063,1
7,Szczepska ,Sandra,KK Dziewiątka-Amica Wronki,345,181,7,526,346,190,0,536,691,371,7,1062,
8,Gurgul,Karolina,BOSiR Brzesko,368,157,8,525,354,173,9,527,722,330,17,1052,
9,Łochowicz,Anna,KS Polonia 1912 Leszno,331,186,8,517,,,,,,,,,
10,Sidlo,Julia,Pilica Tomaszów Mazowiecki,352,163,3,515,,,,,,,,,
11,Metlicka,Aleksandra,MLKS Tucholanka Tuchola,354,160,8,514,,,,,,,,,
12,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,344,159,7,503,,,,,,,,,
13,Dziamska,Jagoda,OSiR Tarnowo Podgórne,331,165,8,496,,,,,,,,,
14.,Paterok,Aleksandra,KS Polonia Łaziska Górne,367,122,19,489,,,,,,,,,
15.,Stróżyńska,Marcelina,KS Polonia 1912 Leszno,348,129,18,477,,,PATRONAT MEDIALNY,,,,,,
16.,Wojciechowska,Adrianna,Jedność Kościan,354,114,21,468,,,,,,,,,
17.,Paszyk,Weronika,KK Wrzos Sieraków,322,140,15,462,,,,,,,,,
18.,Schweissing,Natalia,MLKS Tucholanka Tuchola,303,146,14,449,,,,,,,,,
19,Mrowiec,Sandra,OSiR Tarnowo Podgórne,335,109,20,444,,,,,,,,,
20,Bucholc,Natalia,MLKS Tucholanka Tuchola,302,127,14,429,,,,,,,,,
21,Nowak,Natalia,KK Wrzos Sieraków,297,124,17,421,,,,,,,,,
22,Karczyńska,Agata,KS Start Gostyń,269,132,16,401,,,,,,,,,
.,,,,,,,,,,,,,,,,
