"XXIV Memoriał St. Krzymińskiego i B. Nowackiego • Leszno, 26-30.04.2017 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1,Wąsala,Maja,OSiR Tarnowo P.,339,163,7,502,336,171,8,507,675,334,15,1009,6
2,Kobiór,Nicola,KS Polonia Łaziska Górne,333,183,7,516,353,139,10,492,686,322,17,1008,5
3,Banaszak ,Aleksandra,KS Start Gostyń,340,140,12,480,340,162,13,502,680,302,25,982,4
4,Roszak,Weronika,KK Dziewiątka-Amica Wronki,359,138,13,497,329,139,12,468,688,277,25,965,3
5,Dudzik,Marika,KS Polonia 1912 Leszno,338,138,9,476,353,127,13,480,691,265,22,956,2
6,Kucz,Zuzanna,OSiR Tarnowo P.,315,163,14,478,303,130,16,433,618,293,30,911,1
7,Bodura,Julia,BOSiR Brzesko,325,133,13,458,,,,,,,,,
8,Zdulska,Daria,Pilica Tomaszów Mazowiecki,301,151,12,452,,,,,,,,,
9,Konieczna,Julia,KK Dziewiątka-Amica Wronki,324,125,13,449,,,,PATRONAT MEDIALNY,,,,,
10,Schweissing,Natalia,Tucholanka Tuchola,303,146,14,449,,,,,,,,,
11,Bucholc,Natalia,Tucholanka Tuchola,302,127,14,429,,,,,,,,,
12,Mleczko, Anna,BOSiR Brzesko,307,119,20,426,,,,,,,,,
13,Fojud,Aleksandra,KK Dziewiątka-Amica Wronki,298,126,18,424,,,,,,,,,
14,Bucholc,Dominika,Tucholanka Tuchola,300,106,23,406,,,,,,,,,
15,Dziamska,Iwona,OSiR Tarnowo P.,281,123,15,404,,,,,,,,,
16,Przybyla,Nikola,Pilica Tomaszów Mazowiecki,300,101,20,401,,,,,,,,,
17,Król,Wiktoria,Pilica Tomaszów Mazowiecki,262,133,15,395,,,,,,,,,
18,Opielewicz,Anna,KS Start Gostyń,307,74,29,381,,,,,,,,,
19,Ryś,Sandra,OSiR Tarnowo P.,292,84,29,376,,,,,,,,,
20,Kopeć,Magdalena,OSiR Tarnowo P.,261,85,26,346,,,,,,,,,
21,Konieczna,Emilia,KK Dziewiątka-Amica Wronki,278,61,29,339,,,,,,,,,
