"XXIV Memoriał St. Krzymińskiego i B. Nowackiego • Leszno, 26-30.04.2017 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1,Łochowicz,Filip,KS Polonia 1912 Leszno,376,137,13,513,377,201,6,578,753,338,19,1091,6
2,Wilk,Tobiasz,KK Dziewiątka-Amica Wronki,346,155,8,501,382,195,4,577,728,350,12,1078,5
3,Kraczewski,Mateusz,KS Polonia 1912 Leszno,351,156,6,507,353,153,14,506,704,309,20,1013,4
4,Kolonko,Igor,KS Polonia Łaziska Górne,344,154,6,498,372,133,19,505,716,287,25,1003,3
5,Hajdo,Rafał,BOSiR Brzesko,333,182,2,515,326,148,9,474,659,330,11,989,2
6,Piasta,Borys,KS Czarna Kula Poznań,353,152,6,505,318,120,14,438,671,272,20,943,1
7,Nowak,Wojciech,KS Start Gostyń,324,166,9,490,,,,,,,,,
8,Kuryło,Jakub,BOSiR Brzesko,344,140,6,484,,,,,,,,,
9,Grzywaczewski,Mateusz,KK Dziewiątka-Amica Wronki,334,149,12,483,,,,,,,,,
10,Izydorek,Daniel,KS Czarna Kula Poznań,345,138,15,483,,,,,,,,,
11,Dworczyk,Patryk,OSiR Tarnowo P.,324,150,13,474,,,,,,,,,
12,Dziamski,Artur,OSiR Tarnowo P.,346,127,12,473,,,,,,,,,
13,Kraczewski,Piotr,KS Polonia 1912 Leszno,312,156,11,468,,,,,,,,,
14,Hamielec ,Maciej,BOSiR Brzesko,338,127,23,465,,,,,,,,,
15,Przewoźny,Krzysztof,KK Dziewiątka-Amica Wronki,339,120,13,459,,,,,,,,,
16,Bacza,Łukasz,KS Polonia Łaziska Górne,336,122,16,458,,,,,,,,,
17,Wojtaszek,Maciej,Pilica Tomaszów Mazowiecki,328,129,17,457,,,,,,,,,
18,Anklam,Wojciech,KK Dziewiątka-Amica Wronki,329,124,17,453,,,,,,,,,
19,Nowacki ,Antoni,KS Polonia 1912 Leszno,343,108,19,451,,,,,,,,,
20,Fraś,Marcin,KK Dziewiątka-Amica Wronki,320,129,17,449,,,,,,,,,
21,Prętki,Kevin,KK Dziewiątka-Amica Wronki,338,110,22,448,,,,,,,,,
22,Kmieciak,Maks,KK Wrzos Sieraków,313,135,13,448,,,,,,,,,
23,Dykier,Dominik,KS Polonia 1912 Leszno,322,124,12,446,,,,,,,,,
24,Sowik,Igor,Pilica Tomaszów Mazowiecki,325,121,15,446,,,,,,,,,
25,Molik,Jakub,KK Wrzos Sieraków,315,123,7,438,,,,,,,,,
26,Ptak,Mateusz,KS Start Gostyń,310,127,10,437,,,,,,,,,
27,Kozłowski,Bartosz,KK Dziewiątka-Amica Wronki,321,111,16,432,,,,,,,,,
28,Erkier ,Jakub,KS Polonia Łaziska Górne,321,107,18,428,,,,,,,,,
29,Bryćko ,Klaudiusz,KK Dziewiątka-Amica Wronki,310,110,20,420,,,,,,,,,
30,Zastawnik,Gabriel,BOSiR Brzesko,296,122,14,418,,,,,,,,,
31,Byliński,Marcin,OSiR Tarnowo P.,305,109,23,414,,,,,,,,,
32,Skalski,Michał,Pilica Tomaszów Mazowiecki,290,122,17,412,,,,,,,,,
33,Olejniczak,Rafał,KK Dziewiątka-Amica Wronki,310,88,22,398,,,,,,,,,
34,Kubiak,Mikołaj,OSiR Tarnowo P.,293,96,25,389,,,,,,,,,
35,Ormanin,Norbert,KS Polonia Łaziska Górne,282,73,29,355,,,,,,,,,
