XV Turniej Świąteczny Wronki 2014                                                                        juniorki młodsze,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem,P,ZB,X,Razem
1.,Bonk Aleksandra,Alfa-Vector Tarnowo Podgórne,366,181,5,547,371,145,9,516,737,326,14,1063
2.,Brodziszewska Julia,Dziewiątka-Amica Wronki,330,187,3,517,374,170,3,544,704,357,6,1061
3.,Mroczkiewicz Katarzyna,Dziewiątka-Amica Wronki,363,174,6,537,346,177,7,523,709,351,13,1060
4.,Grzelak Patrycja,Dziewiątka-Amica Wronki,350,162,3,512,347,173,3,520,697,335,6,1032
5.,Remisz Martyna,Dziewiątka-Amica Wronki,357,152,9,509,352,161,9,513,709,313,18,1022
6.,Grocholska Julia,Dziewiątka-Amica Wronki,378,154,7,532,341,141,11,482,719,295,18,1014
7.,Remisz Weronika,Dziewiątka-Amica Wronki,360,131,10,491,,,,,,,,
8.,Torka Weronika,Alfa-Vector Tarnowo Podgórne,337,148,9,485,,,,,,,,
9.,Paszyk Julia,Dziewiątka-Amica Wronki,345,132,5,477,,,,,,,,
