XV Turniej Świąteczny Wronki 2014                                                                        juniorzy młodsi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem,P,ZB,X,Razem
1.,Michalak Kacper,Start Gostyń,372,219,3,591,372,205,2,577,744,424,5,1168
2.,Ratajczak Tymoteusz,Dziewiątka-Amica Wronki,397,172,2,569,355,170,1,525,752,342,3,1094
3.,Palacz Kamil,Dziewiątka-Amica Wronki,380,164,4,544,375,165,5,540,755,329,9,1084
4.,Rybiński Alan,Polonia 1912 Leszno,337,190,4,527,376,176,5,552,713,366,9,1079
5.,Sawala Mateusz,Dziewiątka-Amica Wronki,370,176,4,546,382,149,7,531,752,325,11,1077
6.,Klecha Mateusz,Polonia 1912 Leszno,388,170,3,558,335,178,3,513,723,348,6,1071
7.,Radzi Mateusz,Dziewiątka-Amica Wronki,361,155,9,516,,,,,,,,
8.,Kaliski Szymon,Polonia 1912 Leszno,343,172,7,515,,,,,,,,
9.,Kląskała Mateusz,Dziewiątka-Amica Wronki,320,181,1,501,,,,,,,,
10.,Cwojdziński Tomasz,Alfa-Vector Tarnowo Podgórne,342,159,11,501,,,,,,,,
11.,Nowak Jędrzej,Start Gostyń,357,142,12,499,,,,,,,,
12.,Frąckowiak Rafał,Start Gostyń,369,130,13,499,,,,,,,,
13.,Ruszczyk Bartosz,Dziewiątka-Amica Wronki,345,142,12,487,,,,,,,,
14.,Łukaszewski Patryk,Start Gostyń,353,131,11,484,,,,,,,,
15.,Michalak Jędrzej,Start Gostyń,340,139,8,479,,,,,,,,
