XV Turniej Świąteczny Wronki 2014                                                                          młodziczki,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem,P,ZB,X,Razem
1,Dudziak Nicoletta,Polonia 1912 Leszno,356,173,4,529,343,178,10,521,699,351,14,1050
2,Jądrzyk Wiktoria,Dziewiątka-Amica Wronki,358,182,5,540,352,153,6,505,710,335,11,1045
3,Szczepska Sandra,Dziewiątka-Amica Wronki,340,175,4,515,366,162,8,528,706,337,12,1043
4,Przybysz Angelika,Dziewiątka-Amica Wronki,352,136,9,488,370,150,8,520,722,286,17,1008
5,Filipiec Julia,Dziewiątka-Amica Wronki,337,143,9,480,354,162,8,516,691,305,17,996
6,Sarbak Karolina,Dziewiątka-Amica Wronki,318,140,15,458,317,138,9,455,635,278,24,913
7,Łochowicz Anna,Polonia 1912 Leszno,311,144,10,455,,,,,,,,
8,Ciszewska Angelika,Polonia 1912 Leszno,316,139,10,455,,,,,,,,
9,Michalska Alicja,Dziewiątka-Amica Wronki,320,126,11,446,,,,,,,,
10,Roszak Weronika,Dziewiątka-Amica Wronki,300,111,21,411,,,,,,,,
11,Czepczor Dagmara,Dziewiątka-Amica Wronki,300,102,18,402,,,,,,,,
