XV Turniej Świąteczny Wronki 2014                                                                                 młodzicy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem,P,ZB,X,Razem
1,Cwojdziński Jakub,Alfa-Vector Tarnowo Podgórne,370,174,4,544,368,146,7,514,738,320,11,1058
2,Kląskała Jakub,Dziewiątka-Amica Wronki,367,173,4,540,341,138,10,479,708,311,14,1019
3,Olczyk Maciej,Dziewiątka-Amica Wronki,337,187,7,524,351,132,13,483,688,319,20,1007
4,Cypel Hubert,Dziewiątka-Amica Wronki,338,156,8,494,346,153,8,499,684,309,16,993
5,Nowicki Dominik,Dziewiątka-Amica Wronki,336,134,13,470,333,148,9,481,669,282,22,951
6,Grzywaczewski Mateusz,Dziewiątka-Amica Wronki,347,149,12,496,315,134,13,449,662,283,25,945
7,Kaszkowiak Maciej,Dziewiątka-Amica Wronki,326,136,13,462,,,,,,,,
8,Kubiak Remigiusz,Dziewiątka-Amica Wronki,312,148,16,460,,,,,,,,
9,Banaszak Szymon,Start Gostyń,333,119,16,452,,,,,,,,
10,Szczepski Mikołaj,Dziewiątka-Amica Wronki,311,111,20,422,,,,,,,,
11,Górniak Krystian,Dziewiątka-Amica Wronki,294,117,17,411,,,,,,,,
